method,model_batch_norm,model_dropout,model_layers,model_classes,model_supports,model_planes,model_plane_training,testing_classes,testing_supports,testing_planes,integer_range,unseen,cos_acc,true_lsh_acc,sigmoid_lsh_acc
lsh_random,True,True,4,20,5,1000,False,5,1,2000,1000,True,0.501,0.46,0.46
lsh_random,True,True,4,20,5,1000,False,10,1,2000,1000,True,0.191,0.115,0.115
lsh_random,True,True,4,20,5,1000,False,20,1,2000,1000,True,0.264,0.19,0.19
lsh_random,True,True,4,20,5,1000,False,50,1,2000,1000,True,0.15,0.127,0.127
lsh_random,True,True,4,20,5,1000,False,100,1,2000,1000,True,0.075,0.054,0.054
lsh_random,True,True,4,20,5,1000,False,200,1,2000,1000,True,0.061,0.048,0.048
lsh_random,True,True,4,20,5,1000,False,500,1,2000,1000,True,0.041,0.03,0.03
lsh_random,True,True,4,20,5,1000,False,5,2,2000,1000,True,0.546,0.491,0.491
lsh_random,True,True,4,20,5,1000,False,10,2,2000,1000,True,0.365,0.321,0.321
lsh_random,True,True,4,20,5,1000,False,20,2,2000,1000,True,0.245,0.239,0.239
lsh_random,True,True,4,20,5,1000,False,50,2,2000,1000,True,0.125,0.098,0.095
lsh_random,True,True,4,20,5,1000,False,100,2,2000,1000,True,0.091,0.077,0.077
lsh_random,True,True,4,20,5,1000,False,200,2,2000,1000,True,0.059,0.045,0.045
lsh_random,True,True,4,20,5,1000,False,500,2,2000,1000,True,0.032,0.029,0.029
lsh_random,True,True,4,20,5,1000,False,5,5,2000,1000,True,0.343,0.293,0.293
lsh_random,True,True,4,20,5,1000,False,10,5,2000,1000,True,0.267,0.249,0.249
lsh_random,True,True,4,20,5,1000,False,20,5,2000,1000,True,0.182,0.169,0.169
lsh_random,True,True,4,20,5,1000,False,50,5,2000,1000,True,0.108,0.088,0.088
lsh_random,True,True,4,20,5,1000,False,100,5,2000,1000,True,0.092,0.091,0.091
lsh_random,True,True,4,20,5,1000,False,200,5,2000,1000,True,0.063,0.048,0.048
lsh_random,True,True,4,20,5,1000,False,500,5,2000,1000,True,0.044,0.03,0.03
lsh_random,True,True,4,20,5,1000,False,5,10,2000,1000,True,0.464,0.377,0.377
lsh_random,True,True,4,20,5,1000,False,10,10,2000,1000,True,0.331,0.299,0.299
lsh_random,True,True,4,20,5,1000,False,20,10,2000,1000,True,0.163,0.161,0.161
lsh_random,True,True,4,20,5,1000,False,50,10,2000,1000,True,0.121,0.081,0.081
lsh_random,True,True,4,20,5,1000,False,100,10,2000,1000,True,0.081,0.069,0.069
lsh_random,True,True,4,20,5,1000,False,200,10,2000,1000,True,0.051,0.039,0.039
lsh_random,True,True,4,20,5,1000,False,500,10,2000,1000,True,0.026,0.027,0.027
